distance,passengers,hour,weekday,trip_minutes,payment,color,pickup_borough,dropoff_borough,fare,tip,tolls,total
1.6,1,20,Saturday,6.25,credit card,yellow,Manhattan,Manhattan,7.0,2.15,0.0,12.95
0.79,1,16,Monday,7.08,cash,yellow,Manhattan,Manhattan,5.0,0.0,0.0,9.3
1.37,1,17,Wednesday,7.4,credit card,yellow,Manhattan,Manhattan,7.5,2.36,0.0,14.16
7.7,1,1,Sunday,25.87,credit card,yellow,Manhattan,Manhattan,27.0,6.15,0.0,36.95
2.16,3,13,Saturday,9.53,credit card,yellow,Manhattan,Manhattan,9.0,1.1,0.0,13.4
0.49,1,10,Monday,10.13,credit card,yellow,Manhattan,Manhattan,7.5,2.16,0.0,12.96
3.65,1,21,Tuesday,9.97,credit card,yellow,Manhattan,Manhattan,13.0,2.0,0.0,18.8
3.63,1,11,Saturday,17.4,credit card,yellow,Manhattan,Manhattan,15.0,1.0,0.0,19.3
1.52,1,16,Friday,8.33,credit card,yellow,Manhattan,Manhattan,8.0,1.0,0.0,13.3
3.9,1,10,Saturday,20.07,cash,yellow,Queens,Queens,17.0,0.0,0.0,17.8
1.53,1,19,Wednesday,5.9,credit card,yellow,Manhattan,Manhattan,6.5,2.16,0.0,12.96
1.05,1,21,Monday,7.03,credit card,yellow,Manhattan,Manhattan,6.5,1.0,0.0,11.3
1.75,1,7,Tuesday,13.87,cash,yellow,Manhattan,Manhattan,10.5,0.0,0.0,13.8
2.9,0,12,Wednesday,12.23,cash,yellow,Manhattan,Manhattan,11.5,0.0,0.0,14.8
2.09,3,17,Saturday,20.38,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,16.8
2.12,1,12,Friday,18.38,cash,yellow,Manhattan,Manhattan,13.0,0.0,0.0,16.3
2.6,1,20,Saturday,11.3,credit card,yellow,Manhattan,Manhattan,10.5,2.0,0.0,16.3
2.18,1,6,Wednesday,9.57,credit card,yellow,Manhattan,Manhattan,9.5,1.92,0.0,14.72
1.08,6,22,Monday,7.08,credit card,yellow,Manhattan,Manhattan,6.5,1.08,0.0,11.38
1.07,1,3,Thursday,6.65,credit card,yellow,Manhattan,Manhattan,6.5,1.54,0.0,11.84
